YEAR,shannon
units,count/sampling-day
extent,LK
1999,46.6
2000,52.6
2001,58.9
2002,62.3
2003,62.1
2004,54.8
2005,60.2
2006,61
2007,61.5
2008,59.5
2009,61
2010,54.9
2011,64.3
2012,55.3
2014,56.6
2016,62.5
2018,59.9
