YEAR,simpson
units,count/sampling-day
extent,LK
1999,29.2
2000,33.5
2001,37.9
2002,41.1
2003,41.6
2004,36.8
2005,37.6
2006,37.9
2007,39.1
2008,38.4
2009,39.2
2010,33.3
2011,42.1
2012,35.1
2014,36.8
2016,40.1
2018,38.1
