YEAR,simpson
units,count/sampling-day
extent,UK
1999,30.4
2000,33.3
2001,32.9
2002,36.3
2003,39.3
2004,40.5
2005,35.7
2006,36.1
2007,38.1
2008,36.1
2009,34.6
2010,35
2011,39.3
2012,37.9
2014,33.6
2016,38
2018,38.6
