YEAR,shannon
units,count/sampling-day
extent,UK
1999,44.1
2000,51.3
2001,51.8
2002,60.3
2003,61.8
2004,63.7
2005,58.3
2006,59.6
2007,62.1
2008,57.1
2009,55.8
2010,55.3
2011,61.4
2012,59.9
2014,55.3
2016,59.1
2018,60.3
